timestamp,direction,travel_time,speed_mph,congestion_level,speed_vs_local,raw_html_snippet
2026-03-14 21:19:50 UTC,Outbound,6 minutes,52,Light,+18 MPH,Express Chi | Chicago Express Lane Status | Chicago Express Lane Status | Up to date information on the Chicago Kennedy Express lanes | Direction | Outbound | Travel Time | 6 minutes | Data unavailable | Speed | 52 MPH | Light Congestion | 18 MPH faster than Local | Gateway traffic information courtesy of the Illinois Depa
2026-03-14 21:58:57 UTC,Outbound,10 minutes,31,unknown,+3 MPH,Express Chi | Chicago Express Lane Status | Chicago Express Lane Status | Up to date information on the Chicago Kennedy Express lanes | Direction | Outbound | Travel Time | 10 minutes | Data unavailable | Speed | 31 MPH | Medium Congestion | 3 MPH faster than Local | Gateway traffic information courtesy of the Illinois Dep
2026-03-14 22:58:12 UTC,Outbound,Data unavailable,unavailable,Closed,unavailable,Express Chi | Chicago Express Lane Status | Chicago Express Lane Status | Up to date information on the Chicago Kennedy Express lanes | Direction | Outbound | Travel Time | Data unavailable | Speed | Data unavailable | Note: | Express lanes may be closed or data is temporarily unavailable. Please check back later. | Gate
2026-03-14 23:55:39 UTC,Outbound,Data unavailable,unavailable,Closed,unavailable,Express Chi | Chicago Express Lane Status | Chicago Express Lane Status | Up to date information on the Chicago Kennedy Express lanes | Direction | Outbound | Travel Time | Data unavailable | Speed | Data unavailable | Note: | Express lanes may be closed or data is temporarily unavailable. Please check back later. | Gate
2026-03-15 05:44:31 UTC,Inbound,5 minutes,55,Uncongested,+1 MPH,Express Chi | Chicago Express Lane Status | Chicago Express Lane Status | Up to date information on the Chicago Kennedy Express lanes | Direction | Inbound | Travel Time | 5 minutes | 5 min avg | 0 min | Speed | 55 MPH | Uncongested | 1 MPH faster than Local | Gateway traffic information courtesy of the Illinois Department o
2026-03-15 07:54:35 UTC,Inbound,4 minutes,55,Uncongested,+1 MPH,Express Chi | Chicago Express Lane Status | Chicago Express Lane Status | Up to date information on the Chicago Kennedy Express lanes | Direction | Inbound | Travel Time | 4 minutes | 5 min avg | Decreased by | 1 min | Speed | 55 MPH | Uncongested | 1 MPH faster than Local | Gateway traffic information courtesy of the Illinois
2026-03-15 09:50:56 UTC,Inbound,4 minutes,55,Uncongested,+1 MPH,Express Chi | Chicago Express Lane Status | Chicago Express Lane Status | Up to date information on the Chicago Kennedy Express lanes | Direction | Inbound | Travel Time | 4 minutes | 5 min avg | Decreased by | 1 min | Speed | 55 MPH | Uncongested | 1 MPH faster than Local | Gateway traffic information courtesy of the Illinois
2026-03-15 11:00:50 UTC,Inbound,5 minutes,55,Uncongested,+1 MPH,Express Chi | Chicago Express Lane Status | Chicago Express Lane Status | Up to date information on the Chicago Kennedy Express lanes | Direction | Inbound | Travel Time | 5 minutes | 5 min avg | 0 min | Speed | 55 MPH | Uncongested | 1 MPH faster than Local | Gateway traffic information courtesy of the Illinois Department o
2026-03-15 11:53:33 UTC,Inbound,5 minutes,55,Uncongested,+1 MPH,Express Chi | Chicago Express Lane Status | Chicago Express Lane Status | Up to date information on the Chicago Kennedy Express lanes | Direction | Inbound | Travel Time | 5 minutes | 5 min avg | 0 min | Speed | 55 MPH | Uncongested | 1 MPH faster than Local | Gateway traffic information courtesy of the Illinois Department o
